participant_id	original_participant_id	species	sex	strain
sub-e13+16f1	sub-e13_16f1	Mus musculus	F	C57BL/6
sub-e13+1f1	sub-e13_1f1	Mus musculus	M, F	C57BL/6
sub-e13+1m1	sub-e13_1m1	Mus musculus	M, F	C57BL/6
sub-e13+26m1	sub-e13_26m1	Mus musculus	M	C57BL/6
sub-e14+1m1	sub-e14_1m1	Mus musculus	M	C57BL/6
sub-e14+2m2	sub-e14_2m2	Mus musculus	M	C57BL/6
sub-e14+2m3	sub-e14_2m3	Mus musculus	M	C57BL/6, Long Evans
sub-e15+10m1	sub-e15_10m1	Mus musculus	M	C57BL/6
sub-e15+13f1	sub-e15_13f1	Mus musculus	F	C57BL/6
sub-e15+4m1	sub-e15_4m1	Mus musculus	M	C57BL/6
sub-e15+4m2	sub-e15_4m2	Mus musculus	M	C57BL/6
sub-e15+5m1	sub-e15_5m1	Mus musculus	M	C57BL/6
sub-e15+9f1	sub-e15_9f1	Mus musculus	F	C57BL/6
sub-e16+1f1	sub-e16_1f1	Mus musculus	F	C57BL/6
sub-e16+2m1	sub-e16_2m1	Mus musculus	M	C57BL/6
sub-e16+3m1	sub-e16_3m1	Mus musculus	M	Long Evans, C57BL/6
sub-e16+3m2	sub-e16_3m2	Mus musculus	M	C57BL/6
